Region,Site,Reference,LongLat,Latitude,Longitude,RSL,RSL_er_max,RSL_er_min,Age,SiteName,Age_er_max,Age_er_min,Age_er_average,RSL_er_average,site,data_type_id,data_lm_slope,data_lm_slope_err,ICE5_GIA_slope,NI_var_term
Massachusetts,Wood Island,Kemp et al. (2011),42.2_-70.8,42.2,-70.8,-0.39,0.06,0.06,1.669,"Wood Island,
 Massachusetts",0.0125,0.0125,0.0125,0.06,01,ProxyData,0.52,6.548980296230637e-8,0.39556336402893066,0.007369990153888216
Massachusetts,Wood Island,Kemp et al. (2011),42.2_-70.8,42.2,-70.8,-0.35,0.06,0.06,1.7,"Wood Island,
 Massachusetts",0.025,0.025,0.025,0.06,01,ProxyData,0.52,6.548980296230637e-8,0.39556336402893066,0.007052812737059847
Massachusetts,Wood Island,Kemp et al. (2011),42.2_-70.8,42.2,-70.8,-0.19,0.06,0.06,1.875,"Wood Island,
 Massachusetts",0.0125,0.0125,0.0125,0.06,01,ProxyData,0.52,6.548980296230637e-8,0.39556336402893066,0.015731888592568705
Massachusetts,Wood Island,Kemp et al. (2011),42.2_-70.8,42.2,-70.8,-0.05,0.06,0.06,1.93,"Wood Island,
 Massachusetts",0.005,0.005,0.005,0.06,01,ProxyData,0.52,6.548980296230637e-8,0.39556336402893066,0.021946806066585993
Massachusetts,Wood Island,Kemp et al. (2011),42.2_-70.8,42.2,-70.8,-0.02,0.06,0.06,1.963,"Wood Island,
 Massachusetts",5e-4,5e-4,5e-4,0.06,01,ProxyData,0.52,6.548980296230637e-8,0.39556336402893066,0.024125430811930807
North Carolina,Sand Point,"Kemp et al. (2011), Kemp et al. (2017)",35.9_-75.7,35.9,-75.7,-0.15,0.08,0.08,2.005,"Sand Point,
 North Carolina",5e-4,0.0035,0.002,0.08,01,ProxyData,0.97,1.221858146060826e-108,0.688460111618042,0.027183465007900177
North Carolina,Sand Point,"Kemp et al. (2011), Kemp et al. (2017)",35.9_-75.7,35.9,-75.7,-0.17,0.08,0.08,1.993,"Sand Point,
 North Carolina",0.002,0.0015,0.00175,0.08,01,ProxyData,0.97,1.221858146060826e-108,0.688460111618042,0.027064310131768212
North Carolina,Sand Point,"Kemp et al. (2011), Kemp et al. (2017)",35.9_-75.7,35.9,-75.7,-0.19,0.08,0.08,1.99,"Sand Point,
 North Carolina",0.001,0.001,0.001,0.08,01,ProxyData,0.97,1.221858146060826e-108,0.688460111618042,0.02701048311616394
North Carolina,Sand Point,"Kemp et al. (2011), Kemp et al. (2017)",35.9_-75.7,35.9,-75.7,-0.21,0.08,0.08,1.987,"Sand Point,
 North Carolina",0.001,0.0025,0.00175,0.08,01,ProxyData,0.97,1.221858146060826e-108,0.688460111618042,0.026947040781931195
North Carolina,Sand Point,"Kemp et al. (2011), Kemp et al. (2017)",35.9_-75.7,35.9,-75.7,-0.23,0.08,0.08,1.979,"Sand Point,
 North Carolina",0.003,0.0015,0.00225,0.08,01,ProxyData,0.97,1.221858146060826e-108,0.688460111618042,0.026730852999571283
